time_min,LituBD5_mass,LituLD2_mass,LituBL2t_mass,LituLL21_mass
0,10.1939,2.6558,8.630006762,2.2994
4,10.1389,2.6687,8.433729487,2.2472
8,10.0182,2.5720,8.425646423,2.2357
12,10.0514,2.6448,8.081766105,2.2573
16,10.1963,2.6695,8.018859107,2.2242
20,9.9652,2.6273,8.083171929,2.1041
24,10.1188,2.6492,7.787613962,2.1052
28,9.9428,2.6538,7.795872684,2.1785
32,10.1331,2.5985,7.873364517,2.1771
36,10.0955,2.5821,7.935920012,2.2864
40,9.9200,2.6639,7.975808172,2.2561
44,10.0672,2.5932,7.906048089,2.2285
48,9.9771,2.6844,7.719259702,2.2979
52,10.0494,2.6396,7.888476136,2.2786
56,9.9374,2.6029,7.660745457,2.1711
60,9.9428,2.4594,7.780585219,2.2177
64,9.9103,2.5967,7.783221021,2.1912
68,9.9083,2.6269,7.713636594,2.2785
72,9.9214,2.5937,7.756511872,2.2486
76,9.8960,2.5777,7.580969513,2.2274
80,9.7106,2.5736,7.634914971,2.2075
84,9.7945,2.5600,7.587471096,2.1725
88,9.7914,2.5430,7.646160998,2.1821
92,9.7747,2.6577,7.557423326,2.1910
96,9.7573,2.5793,7.517008005,2.2482
100,9.6297,2.5517,7.4878389,2.1871
104,9.6832,2.5694,7.488541718,2.1769
108,9.6814,2.5169,7.49451614,2.1251
112,9.6474,2.5570,7.578158053,2.1392
116,9.7163,2.4839,7.457966788,2.1325
120,9.7126,2.5489,7.469212815,2.1515
124,9.6311,2.4866,7.337951369,2.1230
128,9.5216,2.4400,7.447599425,2.0964
132,9.4880,2.4548,7.302456338,2.1246
136,9.5494,2.4859,7.365011832,2.1510
140,9.5592,2.4162,7.310890716,2.1309
144,9.5276,2.5099,7.476241558,2.1654
148,9.4129,2.4409,7.349373053,2.0830
152,9.4256,2.4688,7.182616576,2.0952
156,9.3724,2.3844,7.291385968,2.1510
160,9.1073,2.4044,7.263622498,2.0373
164,9.3207,2.4275,7.338829844,2.0461
168,9.3078,2.4290,7.310363556,2.0480
172,9.2549,2.3888,7.191578115,2.0790
176,9.2353,2.4358,7.176466307,2.0286
180,9.2161,2.3858,7.271354248,2.0274
184,9.3343,2.3733,7.131482577,2.0777
188,9.1865,2.4002,7.138862634,2.0231
192,9.2168,2.4185,7.195971056,2.0598
196,9.2292,2.4559,7.265555482,2.0086
200,9.1540,2.4520,7.026754433,1.9853
204,9.1360,2.4301,7.113910624,1.9729
208,9.0017,2.3882,6.983879345,1.9690
212,9.0258,2.3904,7.018495712,2.0007
216,9.0792,2.3267,7.073319834,1.9963
220,9.0340,2.3963,6.969997515,2.0030
224,8.9989,2.4144,6.975971938,1.9956
228,9.0819,2.3676,7.003384093,1.9367
232,9.0523,2.4693,6.937138287,1.9674
236,8.9566,2.3036,6.960684473,1.9631
240,8.9265,2.4483,6.961563137,1.9030
244,8.9585,2.3353,6.84312901,2.0043
248,8.8742,2.3589,6.872122647,1.9525
252,8.9594,2.3399,6.913943415,1.9461
256,8.8435,2.3668,6.858416475,1.9337
260,8.7558,2.3143,6.867202545,1.9561
264,8.8877,2.3254,6.797442462,1.9614
268,8.7014,2.3289,6.851212074,1.9320
272,8.8119,2.2872,6.813257087,1.8913
276,8.8530,2.3482,6.736819574,1.9277
280,8.6832,2.3156,6.754918498,1.8915
284,8.8167,2.3538,6.745429799,1.8656
288,8.7195,2.3558,6.719950628,1.9262
292,8.7195,2.3689,6.637714539,1.9145
296,8.7014,2.2642,6.694998617,1.8997
300,8.7922,2.2605,6.607491112,1.8391
304,8.5380,2.3036,6.599935209,1.8772
308,8.6832,2.3110,6.668640972,1.8558
312,8.6288,2.3403,6.583417766,1.8341
316,8.6106,2.2880,6.549152713,1.8115
320,8.5017,2.2657,6.623305738,1.8517
324,8.4654,2.2942,6.514536157,1.9099
328,8.4835,2.3215,6.533865248,1.8697
332,8.4290,2.2638,6.588513524,1.8748
336,8.3746,2.2613,6.467092281,1.8451
340,8.3564,2.1536,6.537028022,1.8596
344,8.3746,2.2642,6.570765915,1.8450
348,8.3746,2.2659,6.605909631,1.8420
352,8.3383,2.2463,6.493625773,1.8675
356,8.1386,2.2176,6.434233052,1.8274
360,8.3201,2.2754,6.41332248,1.8022
364,8.3746,2.2773,6.578848979,1.8393
368,8.3020,2.2439,6.389951951,1.8013
372,8.1930,2.2670,6.37607031,1.8419
376,8.2112,2.2347,6.443370437,1.8307
380,8.3383,2.2581,6.357092722,1.8140
384,8.2657,2.1984,6.319489049,1.7895
388,8.2112,2.1886,6.246038842,1.7756
392,8.1567,2.1894,6.544935429,1.7270
396,8.2475,2.3023,6.275208136,1.7842
400,7.9752,2.2343,6.254121906,1.7586
404,8.1567,2.2472,6.313514627,1.8322
408,8.0115,2.3014,6.233211522,1.8067
412,8.0478,2.2050,6.35445692,1.7685
416,8.1386,2.3149,6.169074357,1.7763
420,8.0296,2.1912,6.246917506,1.7730
424,8.0115,2.2319,6.309297343,1.7574
428,8.0841,2.2747,6.142540866,1.7215
432,7.9025,2.2028,6.124793444,1.7034
436,8.0841,2.2526,6.120576161,1.6294
440,7.8662,2.2332,6.113020257,1.7077
444,7.9389,2.2262,6.108802973,1.7287
448,7.8299,2.1888,6.097557135,1.7132
452,7.9389,2.1820,6.077700883,1.7173
456,7.8844,2.1827,6.047653114,1.6844
460,7.7936,2.2349,6.066279199,1.7101
464,7.8481,2.1925,5.951711041,1.7014
468,7.9207,2.1792,6.052221712,1.7187
472,7.8481,2.2340,6.098084295,1.6969
476,7.7755,2.1678,5.997222121,1.7185
480,7.7936,2.2872,5.94397948,1.7558
484,7.8662,2.2327,5.900401385,1.6708
488,7.7210,2.1394,5.900928546,1.7000
492,7.7392,2.2135,5.899347064,1.7146
496,7.7755,2.1584,5.86965061,1.6964
500,7.6665,2.1389,5.962781223,1.7299
504,7.7392,2.1311,5.837494199,1.6978
508,7.7392,2.2001,5.781615944,1.6746
512,7.7210,2.1343,5.801999168,1.6888
516,7.6484,2.1450,5.878787995,1.6545
520,7.6484,2.1671,5.847510248,1.6596
524,7.6302,2.1079,5.838724366,1.6772
528,7.7210,2.1912,5.742782104,1.6596
532,7.5394,2.1407,5.741376469,1.6634
536,7.5213,2.0969,5.804107809,1.7249
540,7.5031,2.1247,5.787063206,1.6069
544,7.6121,2.1741,5.708692897,1.7038
548,7.5213,2.1896,5.679699449,1.6552
552,7.5031,2.1221,5.683038069,1.6256
556,7.4850,2.1317,5.699379855,1.6741
