,index,campaign,sample_ID,date_time,weight_g,T_C,RH,Area_m2,Patm,TIME_COL2,delta_time,raw_data,smooth_data,Work_on_smooth
0,0,vitis_2018_10_12,grenache1,12/10/2018 09:22,1.0081,25.0,40.0,0.002579,101.325,2018-12-10 09:22:00,0.0,1.0081,1.0081,No
1,1,vitis_2018_10_12,grenache1,12/10/2018 09:39,0.9472,25.0,40.0,0.002579,101.325,2018-12-10 09:39:00,17.000000000000004,0.9472,0.9472,No
2,2,vitis_2018_10_12,grenache1,12/10/2018 09:48,0.9218,25.0,40.0,0.002579,101.325,2018-12-10 09:48:00,26.0,0.9218,0.9218,No
3,3,vitis_2018_10_12,grenache1,12/10/2018 09:54,0.91,25.0,40.0,0.002579,101.325,2018-12-10 09:54:00,32.00000000000001,0.91,0.91,No
4,4,vitis_2018_10_12,grenache1,12/10/2018 10:06,0.8929,25.0,40.0,0.002579,101.325,2018-12-10 10:06:00,44.0,0.8929,0.8929,No
5,5,vitis_2018_10_12,grenache1,12/10/2018 10:28,0.867,25.0,40.0,0.002579,101.325,2018-12-10 10:28:00,66.00000000000001,0.867,0.867,No
6,6,vitis_2018_10_12,grenache1,12/10/2018 10:46,0.8519,25.0,40.0,0.002579,101.325,2018-12-10 10:46:00,84.0,0.8519,0.8519,No
7,7,vitis_2018_10_12,grenache1,12/10/2018 11:09,0.835,25.0,40.0,0.002579,101.325,2018-12-10 11:09:00,107.0,0.835,0.835,No
8,8,vitis_2018_10_12,grenache1,12/10/2018 11:31,0.8209,25.0,40.0,0.002579,101.325,2018-12-10 11:31:00,129.00000000000003,0.8209,0.8209,No
9,9,vitis_2018_10_12,grenache1,12/10/2018 12:15,0.7913,25.0,40.0,0.002579,101.325,2018-12-10 12:15:00,173.0,0.7913,0.7913,No
10,10,vitis_2018_10_12,grenache1,12/10/2018 13:04,0.7609999999999999,25.0,40.0,0.002579,101.325,2018-12-10 13:04:00,222.0,0.7609999999999999,0.7609999999999999,No
11,11,vitis_2018_10_12,grenache1,12/10/2018 13:53,0.7352,25.0,40.0,0.002579,101.325,2018-12-10 13:53:00,271.00000000000006,0.7352,0.7352,No
12,12,vitis_2018_10_12,grenache1,12/10/2018 14:49,0.7028,25.0,40.0,0.002579,101.325,2018-12-10 14:49:00,327.0,0.7028,0.7028,No
13,13,vitis_2018_10_12,grenache1,12/10/2018 16:00,0.6686,25.0,40.0,0.002579,101.325,2018-12-10 16:00:00,398.0,0.6686,0.6686,No
14,14,vitis_2018_10_12,syrah4,12/10/2018 09:25,0.6627,25.0,40.0,0.002038,101.325,2018-12-10 09:25:00,0.0,0.6627,0.6627,yes
15,15,vitis_2018_10_12,syrah4,12/10/2018 09:34,0.6114,25.0,40.0,0.002038,101.325,2018-12-10 09:34:00,9.0,0.6114,0.6114,yes
16,16,vitis_2018_10_12,syrah4,12/10/2018 09:45,0.5772,25.0,40.0,0.002038,101.325,2018-12-10 09:45:00,20.0,0.5772,0.5772,yes
17,17,vitis_2018_10_12,syrah4,12/10/2018 09:59,0.5482,25.0,40.0,0.002038,101.325,2018-12-10 09:59:00,34.00000000000001,0.5482,0.5482,yes
18,18,vitis_2018_10_12,syrah4,12/10/2018 10:09,0.5271,25.0,40.0,0.002038,101.325,2018-12-10 10:09:00,44.0,0.5271,0.5271,yes
19,19,vitis_2018_10_12,syrah4,12/10/2018 10:24,0.5028,25.0,40.0,0.002038,101.325,2018-12-10 10:24:00,59.0,0.5028,0.5028,yes
20,20,vitis_2018_10_12,syrah4,12/10/2018 10:45,0.4792,25.0,40.0,0.002038,101.325,2018-12-10 10:45:00,80.0,0.4792,0.4792,yes
21,21,vitis_2018_10_12,syrah4,12/10/2018 11:08,0.4561,25.0,40.0,0.002038,101.325,2018-12-10 11:08:00,103.0,0.4561,0.4561,yes
22,22,vitis_2018_10_12,syrah4,12/10/2018 11:29,0.4385,25.0,40.0,0.002038,101.325,2018-12-10 11:29:00,124.00000000000001,0.4385,0.4385,yes
23,23,vitis_2018_10_12,syrah4,12/10/2018 12:12,0.4072,25.0,40.0,0.002038,101.325,2018-12-10 12:12:00,167.0,0.4072,0.4072,yes
24,24,vitis_2018_10_12,syrah4,12/10/2018 13:01,0.3801,25.0,40.0,0.002038,101.325,2018-12-10 13:01:00,216.0,0.3801,0.3801,yes
25,25,vitis_2018_10_12,syrah4,12/10/2018 13:55,0.3578,25.0,40.0,0.002038,101.325,2018-12-10 13:55:00,270.00000000000006,0.3578,0.3578,yes
26,26,vitis_2018_10_12,syrah4,12/10/2018 14:48,0.3401,25.0,40.0,0.002038,101.325,2018-12-10 14:48:00,323.0,0.3401,0.3401,yes
27,27,vitis_2018_10_12,syrah4,12/10/2018 15:58,0.3231,25.0,40.0,0.002038,101.325,2018-12-10 15:58:00,393.0,0.3231,0.3231,yes
28,28,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:28,3.2683683824634717,26.005,62.6275,0.0351,101.325,2020-10-20 11:28:00,0.0,3.3093239999999997,3.2683683824634717,yes
29,29,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:32,3.2654427794109533,26.005,62.6275,0.0351,101.325,2020-10-20 11:32:00,4.000000000000001,3.362415,3.2654427794109533,yes
30,30,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:36,3.2625261561650025,26.0325,62.8575,0.0351,101.325,2020-10-20 11:36:00,8.000000000000002,3.2562330000000004,3.2625261561650025,yes
31,31,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:40,3.259618456603729,26.0025,62.765,0.0351,101.325,2020-10-20 11:40:00,12.0,3.238536,3.259618456603729,yes
32,32,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:44,3.2567196411766406,25.9375,62.92,0.0351,101.325,2020-10-20 11:44:00,16.000000000000004,3.2562330000000004,3.2567196411766406,yes
