,index,campaign,sample_ID,date_time,weight_g,T_C,RH,Area_m2,Patm,TIME_COL2,delta_time,raw_data,smooth_data,Work_on_smooth
0,0,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:28,3.2683683824634664,26.005,62.6275,0.0351,101.325,2020-10-20 11:28:00,0.0,3.309324,3.2683683824634664,yes
1,1,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:32,3.265442779410949,26.005,62.6275,0.0351,101.325,2020-10-20 11:32:00,4.000000000000001,3.362415,3.265442779410949,yes
2,2,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:36,3.262526156165002,26.0325,62.8575,0.0351,101.325,2020-10-20 11:36:00,8.000000000000002,3.256233,3.262526156165002,yes
3,3,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:40,3.259618456603729,26.0025,62.765,0.0351,101.325,2020-10-20 11:40:00,12.0,3.238536,3.259618456603729,yes
4,4,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:44,3.2567196411766424,25.9375,62.92,0.0351,101.325,2020-10-20 11:44:00,16.000000000000004,3.256233,3.2567196411766424,yes
5,5,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:48,3.253829760393475,25.9425,62.615,0.0351,101.325,2020-10-20 11:48:00,20.0,3.238536,3.253829760393475,yes
6,6,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:52,3.250948899678069,25.9675,62.5725,0.0351,101.325,2020-10-20 11:52:00,24.0,3.27393,3.250948899678069,yes
7,7,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 11:56,3.248077179347153,25.9525,62.5775,0.0351,101.325,2020-10-20 11:56:00,28.0,3.27393,3.248077179347153,yes
8,8,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:00,3.245214617002057,25.99,62.595,0.0351,101.325,2020-10-20 12:00:00,32.00000000000001,3.238536,3.245214617002057,yes
9,9,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:04,3.2423611067534472,26.0125,62.6525,0.0351,101.325,2020-10-20 12:04:00,36.0,3.256233,3.2423611067534472,yes
10,10,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:08,3.239516513617766,25.9425,63.0225,0.0351,101.325,2020-10-20 12:08:00,40.0,3.27393,3.239516513617766,yes
11,11,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:12,3.2366806087040145,25.9325,63.075,0.0351,101.325,2020-10-20 12:12:00,44.0,3.238536,3.2366806087040145,yes
12,12,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:16,3.2338530083054726,25.9975,62.855,0.0351,101.325,2020-10-20 12:16:00,48.0,3.238536,3.2338530083054726,yes
13,13,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:20,3.2310332546321754,26.005,62.875,0.0351,101.325,2020-10-20 12:20:00,52.0,3.256233,3.2310332546321754,yes
14,14,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:24,3.228220811578959,25.985,62.9175,0.0351,101.325,2020-10-20 12:24:00,56.0,3.203142,3.228220811578959,yes
15,15,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:28,3.225415030000548,25.98,62.8325,0.0351,101.325,2020-10-20 12:28:00,60.0,3.238536,3.225415030000548,yes
16,16,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:32,3.2226152605101324,26.03,62.895,0.0351,101.325,2020-10-20 12:32:00,64.00000000000001,3.185445,3.2226152605101324,yes
17,17,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:36,3.219820805316191,25.8575,63.0325,0.0351,101.325,2020-10-20 12:36:00,68.00000000000001,3.238536,3.219820805316191,yes
18,18,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:40,3.217030998150206,25.825,63.12,0.0351,101.325,2020-10-20 12:40:00,72.0,3.132355,3.217030998150206,yes
19,19,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:44,3.2142451141092394,25.93,62.905,0.0351,101.325,2020-10-20 12:44:00,76.0,3.203142,3.2142451141092394,yes
20,20,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:48,3.2114624860098084,25.91,62.8775,0.0351,101.325,2020-10-20 12:48:00,80.0,3.203142,3.2114624860098084,yes
21,21,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:52,3.208682473826162,25.905,62.835,0.0351,101.325,2020-10-20 12:52:00,84.0,3.220839,3.208682473826162,yes
22,22,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 12:56,3.2059044178612255,25.91,62.88,0.0351,101.325,2020-10-20 12:56:00,88.0,3.167748,3.2059044178612255,yes
23,23,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:00,3.2031275966660755,25.9975,62.89,0.0351,101.325,2020-10-20 13:00:00,92.0,3.167748,3.2031275966660755,yes
24,24,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:04,3.200351370334674,26.0425,62.8325,0.0351,101.325,2020-10-20 13:04:00,96.0,3.096961,3.200351370334674,yes
25,25,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:08,3.19757523097009,25.98,62.9075,0.0351,101.325,2020-10-20 13:08:00,100.0,3.203142,3.19757523097009,yes
26,26,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:12,3.194798768041998,25.985,63.0825,0.0351,101.325,2020-10-20 13:12:00,104.0,3.220839,3.194798768041998,yes
27,27,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:16,3.192021544669149,25.9475,63.115,0.0351,101.325,2020-10-20 13:16:00,108.0,3.185445,3.192021544669149,yes
28,28,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:20,3.189243010272721,25.8325,63.0825,0.0351,101.325,2020-10-20 13:20:00,112.0,3.203142,3.189243010272721,yes
29,29,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:24,3.186462585265535,25.955,62.97,0.0351,101.325,2020-10-20 13:24:00,116.0,3.150051,3.186462585265535,yes
30,30,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:28,3.1836796775291827,25.8675,63.2725,0.0351,101.325,2020-10-20 13:28:00,120.0,3.150051,3.1836796775291827,yes
31,31,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:32,3.180893972098064,25.8775,63.2325,0.0351,101.325,2020-10-20 13:32:00,124.00000000000001,3.150051,3.180893972098064,yes
32,32,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:36,3.1781057141842495,25.97,63.11,0.0351,101.325,2020-10-20 13:36:00,128.00000000000003,3.167748,3.1781057141842495,yes
33,33,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:40,3.1753160869413724,25.99,62.9225,0.0351,101.325,2020-10-20 13:40:00,132.00000000000003,3.150051,3.1753160869413724,yes
34,34,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:44,3.1725277966019396,25.9475,63.1225,0.0351,101.325,2020-10-20 13:44:00,136.00000000000003,3.167748,3.1725277966019396,yes
35,35,branch_vs_leaf_4,B17_LITU_BL_11,20/10/2020 13:48,3.1697461513826446,25.9075,63.04,0.0351,101.325,2020-10-20 13:48:00,140.0,3.150051,3.1697461513826446,yes
