,index,campaign,sample_ID,date_time,weight_g,T_C,RH,Area_m2,Patm,TIME_COL2,delta_time,raw_data,smooth_data,Work_on_smooth,gmin,raw_slope,d_gmin,Peaks
0,0,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 11:32,8.34830040998535,26.005,62.6275,0.057141826,101.325,2020-10-20 11:32:00,0.0,8.355865,8.34830040998535,yes,3.1046681351164227,-0.002401100990989518,None,[508.]
1,1,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 11:36,8.338311540028617,26.0325,62.8575,0.057141826,101.325,2020-10-20 11:36:00,4.000000000000001,8.391122,8.338311540028617,yes,3.118672422919225,-0.0024010137797818485,None,[508.]
2,2,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 11:40,8.328329959794342,26.0025,62.765,0.057141826,101.325,2020-10-20 11:40:00,8.000000000000002,8.373493,8.328329959794342,yes,3.116143824173746,-0.0024007521757596424,None,[508.]
3,3,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 11:44,8.318355632928986,25.9375,62.92,0.057141826,101.325,2020-10-20 11:44:00,12.0,8.30298,8.318355632928986,yes,3.1407301683796622,-0.0024003162713466,None,[508.]
4,4,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 11:48,8.308388342729177,25.9425,62.615,0.057141826,101.325,2020-10-20 11:48:00,16.000000000000004,8.355865,8.308388342729177,yes,3.1133882887671285,-0.0023997062183789535,None,[508.]
5,5,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 11:52,8.298427854153893,25.9675,62.5725,0.057141826,101.325,2020-10-20 11:52:00,20.0,8.285351,8.298427854153893,yes,3.104213485341047,-0.0023989222279365797,None,[508.]
6,6,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 11:56,8.288473802909575,25.9525,62.5775,0.057141826,101.325,2020-10-20 11:56:00,24.0,8.250094,8.288473802909575,yes,3.1061612732795423,-0.0023979645694046504,None,[508.]
7,7,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:00,8.278525858743219,25.99,62.595,0.057141826,101.325,2020-10-20 12:00:00,28.0,8.285351,8.278525858743219,yes,3.0992229913954,-0.002396833570011209,None,[508.]
8,8,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:04,8.26858381518598,26.0125,62.6525,0.057141826,101.325,2020-10-20 12:04:00,32.00000000000001,8.214838,8.26858381518598,yes,3.0981545835387414,-0.0023955296145180163,None,[508.]
9,9,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:08,8.258647499121784,25.9425,63.0225,0.057141826,101.325,2020-10-20 12:08:00,36.0,8.30298,8.258647499121784,yes,3.140283351495676,-0.0023940531448805318,None,[508.]
10,10,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:12,8.248716835283268,25.9325,63.075,0.057141826,101.325,2020-10-20 12:12:00,40.0,8.267723,8.248716835283268,yes,3.1444544640713383,-0.0023924046603320285,None,[508.]
11,11,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:16,8.238791633958309,25.9975,62.855,0.057141826,101.325,2020-10-20 12:16:00,44.0,8.250094,8.238791633958309,yes,3.1113905435578366,-0.002390584717188313,None,[508.]
12,12,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:20,8.228871586522253,26.005,62.875,0.057141826,101.325,2020-10-20 12:20:00,48.0,8.214838,8.228871586522253,yes,3.109086247359378,-0.002388593929249674,None,[508.]
13,13,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:24,8.218956325594341,25.985,62.9175,0.057141826,101.325,2020-10-20 12:24:00,52.0,8.197209,8.218956325594341,yes,3.113537365966188,-0.002386432967844976,None,[508.]
14,14,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:28,8.209045526815123,25.98,62.8325,0.057141826,101.325,2020-10-20 12:28:00,56.0,8.232466,8.209045526815123,yes,3.1043071032393117,-0.0023841025625889454,None,[508.]
15,15,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:32,8.199138922640541,26.03,62.895,0.057141826,101.325,2020-10-20 12:32:00,60.0,8.161952,8.199138922640541,yes,3.0970474843405897,-0.002381603501747208,None,[508.]
16,16,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:36,8.18923620658778,25.8575,63.0325,0.057141826,101.325,2020-10-20 12:36:00,64.00000000000001,8.197209,8.18923620658778,yes,3.1371400739977338,-0.0023789366333223285,None,[508.]
17,17,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:40,8.179337149025441,25.825,63.12,0.057141826,101.325,2020-10-20 12:40:00,68.00000000000001,8.179581,8.179337149025441,yes,3.1469251768841695,-0.002376102865727397,None,[508.]
18,18,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:44,8.169441519581571,25.93,62.905,0.057141826,101.325,2020-10-20 12:44:00,72.0,8.161952,8.169441519581571,yes,3.1052535410987323,-0.0023731031691633154,None,[508.]
19,19,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:48,8.1595490852248,25.91,62.8775,0.057141826,101.325,2020-10-20 12:48:00,76.0,8.109067,8.1595490852248,yes,3.1025080693484663,-0.0023699385765952726,None,[508.]
20,20,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:52,8.14965967048287,25.905,62.835,0.057141826,101.325,2020-10-20 12:52:00,80.0,8.109067,8.14965967048287,yes,3.0955295583083426,-0.002366610185401094,None,[508.]
21,21,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 12:56,8.13977327603289,25.91,62.88,0.057141826,101.325,2020-10-20 12:56:00,84.0,8.161952,8.13977327603289,yes,3.093789057503076,-0.0023631191586479415,None,[508.]
22,22,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:00,8.129890071748392,25.9975,62.89,0.057141826,101.325,2020-10-20 13:00:00,88.0,8.126695,8.129890071748392,yes,3.0737861848803227,-0.0023594667269812683,None,[508.]
23,23,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:04,8.120010237302917,26.0425,62.8325,0.057141826,101.325,2020-10-20 13:04:00,92.0,8.091439,8.120010237302917,yes,3.055878172502219,-0.0023556541901312697,None,[508.]
24,24,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:08,8.110134023804113,25.98,62.9075,0.057141826,101.325,2020-10-20 13:08:00,96.0,8.126695,8.110134023804113,yes,3.0682854003586733,-0.0023516829189493375,None,[508.]
25,25,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:12,8.100261841856328,25.985,63.0825,0.057141826,101.325,2020-10-20 13:12:00,100.0,8.144324,8.100261841856328,yes,3.076502136042557,-0.002347554357072876,None,[508.]
26,26,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:16,8.090394122886309,25.9475,63.115,0.057141826,101.325,2020-10-20 13:16:00,104.0,8.091439,8.090394122886309,yes,3.080462045758642,-0.0023432700230618816,None,[508.]
27,27,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:20,8.080531226148054,25.8325,63.0825,0.057141826,101.325,2020-10-20 13:20:00,108.0,8.020925,8.080531226148054,yes,3.0930337283259943,-0.002338831512159495,None,[508.]
28,28,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:24,8.07067359458213,25.955,62.97,0.057141826,101.325,2020-10-20 13:24:00,112.0,8.038553,8.07067359458213,yes,3.055211545028323,-0.0023342404984875143,None,[508.]
29,29,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:28,8.060822011403497,25.8675,63.2725,0.057141826,101.325,2020-10-20 13:28:00,116.0,8.07381,8.060822011403497,yes,3.0901780908306757,-0.002329498736886978,None,[508.]
30,30,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:32,8.050977691307578,25.8775,63.2325,0.057141826,101.325,2020-10-20 13:32:00,120.0,8.056182,8.050977691307578,yes,3.078501251936665,-0.002324608065141125,None,[508.]
31,31,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:36,8.04114224729026,25.97,63.11,0.057141826,101.325,2020-10-20 13:36:00,124.00000000000001,8.038553,8.04114224729026,yes,3.0448121629203584,-0.002319570405758478,None,[508.]
32,32,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:40,8.031317919082557,25.99,62.9225,0.057141826,101.325,2020-10-20 13:40:00,128.00000000000003,8.038553,8.031317919082557,yes,3.01904987179197,-0.0023143877679932616,None,[508.]
33,33,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:44,8.021508011393706,25.9475,63.1225,0.057141826,101.325,2020-10-20 13:44:00,132.00000000000003,8.038553,8.021508011393706,yes,3.036109863420731,-0.0023090622492911734,None,[508.]
34,34,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:48,8.011717454507004,25.9075,63.04,0.057141826,101.325,2020-10-20 13:48:00,136.00000000000003,7.932783,8.011717454507004,yes,3.0293682112263096,-0.002303596036734762,None,[508.]
35,35,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:52,8.001953634252528,25.93,62.8475,0.057141826,101.325,2020-10-20 13:52:00,140.0,8.003297,8.001953634252528,yes,3.00231447041138,-0.002297991407587042,None,[508.]
36,36,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 13:56,7.992227442994453,25.83,63.1225,0.057141826,101.325,2020-10-20 13:56:00,144.0,7.985668,7.992227442994453,yes,3.035172269072748,-0.0022922507292564087,None,[508.]
37,37,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:00,7.982552560539731,25.91,62.81,0.057141826,101.325,2020-10-20 14:00:00,148.0,7.985668,7.982552560539731,yes,2.987683624178481,-0.002286376457599529,None,[508.]
38,38,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:04,7.972939855763224,25.9475,62.62,0.057141826,101.325,2020-10-20 14:04:00,152.0,7.985668,7.972939855763224,yes,2.9580775201988465,-0.002280371133597277,None,[508.]
39,39,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:08,7.963626624860502,25.9625,62.895,0.057141826,101.325,2020-10-20 14:08:00,156.0,7.932783,7.963626624860502,yes,2.9693326393685346,-0.0022742373779253396,None,[508.]
40,40,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:12,7.9543694294985565,25.875,63.1075,0.057141826,101.325,2020-10-20 14:12:00,160.0,7.950411,7.9543694294985565,yes,2.993774569143836,-0.002267977865960265,None,[508.]
41,41,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:16,7.945167306128951,25.9075,63.06,0.057141826,101.325,2020-10-20 14:16:00,164.0,7.96804,7.945167306128951,yes,2.9757449561455926,-0.002261595303178393,None,[508.]
42,42,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:20,7.936021105368414,25.95,62.945,0.057141826,101.325,2020-10-20 14:20:00,168.0,7.950411,7.936021105368414,yes,2.95050395830711,-0.002255092420338229,None,[508.]
43,43,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:24,7.926929606930595,25.98,62.565,0.057141826,101.325,2020-10-20 14:24:00,172.0,7.915155,7.926929606930595,yes,2.9067838218265876,-0.0022484719686540213,None,[508.]
44,44,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:28,7.9178924623831435,25.8775,63.155,0.057141826,101.325,2020-10-20 14:28:00,176.0,7.879898,7.9178924623831435,yes,2.9625094153427587,-0.0022417367151235205,None,[508.]
45,45,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:32,7.908909286394633,25.91,62.8275,0.057141826,101.325,2020-10-20 14:32:00,180.0,7.897526,7.908909286394633,yes,2.9217786976190867,-0.002234889438033859,None,[508.]
46,46,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:36,7.899979487149029,25.8125,63.2025,0.057141826,101.325,2020-10-20 14:36:00,184.0,7.897526,7.899979487149029,yes,2.959507147113278,-0.002227932922599214,None,[508.]
47,47,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:40,7.8911031164338645,25.93,62.84,0.057141826,101.325,2020-10-20 14:40:00,188.0,7.862269,7.8911031164338645,yes,2.900970053500983,-0.0022208699567639483,None,[508.]
48,48,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:44,7.882278349109091,25.9325,62.8525,0.057141826,101.325,2020-10-20 14:44:00,192.0,7.879898,7.882278349109091,yes,2.892151244795565,-0.002213703327094226,None,[508.]
49,49,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:48,7.873502736027864,25.8725,63.0075,0.057141826,101.325,2020-10-20 14:48:00,196.0,7.879898,7.873502736027864,yes,2.9050971466952844,-0.0022064358149167735,None,[508.]
50,50,branch_vs_leaf_4,B22_LITU_BL_09,20/10/2020 14:52,7.864773641051156,25.97,62.7775,0.057141826,101.325,2020-10-20 14:52:00,200.0,7.862269,7.864773641051156,yes,2.8608504462766455,-0.002199070192824512,None,[508.]
